,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
vs England,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
in India,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
in Asia,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
home,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
year 2024,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
season 2023/24,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
*RG Sharma,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
is not captain,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
is not keeper,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
lost the toss,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
lost toss & fielded,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
matches fielding first,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
1st team innings,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
2nd team innings,1,-,-,-,-,-,-,-,-,-,-,-,-
1st match innings,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
3rd match innings,1,-,-,-,-,-,-,-,-,-,-,-,-
won match,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
won fielding first,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
2 team series,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
5+ team tournaments,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
4th match in series,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
ICC World Test Champ,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
2nd position,1,1,19.0,0,83,3,3/83,3/83,27.66,4.36,38.0,0,0
