,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2022-2023,8,8,59.2,5,329,9,4/27,36.55,5.54,39.5,1,0
vs South Africa,2022-2023,6,6,43.5,4,209,6,4/27,34.83,4.76,43.8,1,0
vs West Indies,2022-2022,1,1,6.0,0,54,0,-,-,9.00,-,0,0
vs Zimbabwe,2022-2022,1,1,9.3,1,66,3,3/66,22.00,6.94,19.0,0,0
in India,2022-2022,3,3,20.0,1,94,0,-,-,4.70,-,0,0
in South Africa,2023-2023,3,3,23.5,3,115,6,4/27,19.16,4.82,23.8,1,0
in West Indies,2022-2022,1,1,6.0,0,54,0,-,-,9.00,-,0,0
in Zimbabwe,2022-2022,1,1,9.3,1,66,3,3/66,22.00,6.94,19.0,0,0
in Africa,2022-2023,4,4,33.2,4,181,9,4/27,20.11,5.43,22.2,1,0
in Americas,2022-2022,1,1,6.0,0,54,0,-,-,9.00,-,0,0
in Asia,2022-2022,3,3,20.0,1,94,0,-,-,4.70,-,0,0
home,2022-2022,3,3,20.0,1,94,0,-,-,4.70,-,0,0
away,2022-2023,5,5,39.2,4,235,9,4/27,26.11,5.97,26.2,1,0
year 2022,,5,5,35.3,2,214,3,3/66,71.33,6.02,71.0,0,0
year 2023,,3,3,23.5,3,115,6,4/27,19.16,4.82,23.8,1,0
season 2022,,2,2,15.3,1,120,3,3/66,40.00,7.74,31.0,0,0
season 2022/23,,3,3,20.0,1,94,0,-,-,4.70,-,0,0
season 2023/24,,3,3,23.5,3,115,6,4/27,19.16,4.82,23.8,1,0
*S Dhawan,2022-2022,4,4,26.0,1,148,0,-,-,5.69,-,0,0
*KL Rahul,2022-2023,4,4,33.2,4,181,9,4/27,20.11,5.43,22.2,1,0
is not captain,2022-2023,8,8,59.2,5,329,9,4/27,36.55,5.54,39.5,1,0
is not keeper,2022-2023,8,8,59.2,5,329,9,4/27,36.55,5.54,39.5,1,0
won the toss,2022-2022,3,3,22.3,2,125,3,3/66,41.66,5.55,45.0,0,0
lost the toss,2022-2023,5,5,36.5,3,204,6,4/27,34.00,5.53,36.8,1,0
won toss & batted,2022-2022,1,1,9.3,1,66,3,3/66,22.00,6.94,19.0,0,0
won toss & fielded,2022-2022,2,2,13.0,1,59,0,-,-,4.53,-,0,0
lost toss & sent in,2023-2023,2,2,15.5,0,88,2,2/45,44.00,5.55,47.5,0,0
lost toss & fielded,2022-2023,3,3,21.0,3,116,4,4/27,29.00,5.52,31.5,1,0
matches batting first,2022-2023,3,3,25.2,1,154,5,3/66,30.80,6.07,30.4,0,0
matches fielding first,2022-2023,5,5,34.0,4,175,4,4/27,43.75,5.14,51.0,1,0
1st team innings,2022-2023,8,8,59.2,5,329,9,4/27,36.55,5.54,39.5,1,0
1st match innings,2022-2023,5,5,34.0,4,175,4,4/27,43.75,5.14,51.0,1,0
2nd match innings,2022-2023,3,3,25.2,1,154,5,3/66,30.80,6.07,30.4,0,0
day match,2022-2023,3,3,23.3,4,147,7,4/27,21.00,6.25,20.1,1,0
day/night match,2022-2023,5,5,35.5,1,182,2,2/45,91.00,5.07,107.5,0,0
won match,2022-2023,6,6,43.2,5,235,9,4/27,26.11,5.42,28.8,1,0
lost match,2022-2023,2,2,16.0,0,94,0,-,-,5.87,-,0,0
won batting first,2022-2023,2,2,17.2,1,111,5,3/66,22.20,6.40,20.8,0,0
won fielding first,2022-2023,4,4,26.0,4,124,4,4/27,31.00,4.76,39.0,1,0
lost batting first,2023-2023,1,1,8.0,0,43,0,-,-,5.37,-,0,0
lost fielding first,2022-2022,1,1,8.0,0,51,0,-,-,6.37,-,0,0
2 team series,2022-2023,8,8,59.2,5,329,9,4/27,36.55,5.54,39.5,1,0
5+ team tournaments,2022-2022,4,4,29.3,2,160,3,3/66,53.33,5.42,59.0,0,0
1st match in series,2022-2023,2,2,16.0,3,78,4,4/27,19.50,4.87,24.0,1,0
2nd match in series,2022-2023,3,3,21.0,0,132,0,-,-,6.28,-,0,0
3rd match in series,2022-2023,3,3,22.2,2,119,5,3/66,23.80,5.32,26.8,0,0
2nd position,2022-2022,3,3,23.3,1,171,3,3/66,57.00,7.27,47.0,0,0
3rd position,2022-2023,4,4,28.5,4,123,6,4/27,20.50,4.26,28.8,1,0
4th position,2022-2022,1,1,7.0,0,35,0,-,-,5.00,-,0,0
