,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2024-2024,4,4,0,71,48,17.75,73,97.26,0,0,0,8,0
vs IRE Women,2024-2024,1,1,0,4,4,4.00,3,133.33,0,0,0,1,0
vs NAM Women,2024-2024,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0
vs UAE Women,2024-2024,2,2,0,66,48,33.00,66,100.00,0,0,0,7,0
in Namibia,2024-2024,3,3,0,67,48,22.33,70,95.71,0,0,0,7,0
in Zimbabwe,2024-2024,1,1,0,4,4,4.00,3,133.33,0,0,0,1,0
in Africa,2024-2024,4,4,0,71,48,17.75,73,97.26,0,0,0,8,0
home,2024-2024,1,1,0,4,4,4.00,3,133.33,0,0,0,1,0
away,2024-2024,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0
neutral,2024-2024,2,2,0,66,48,33.00,66,100.00,0,0,0,7,0
year 2024,,4,4,0,71,48,17.75,73,97.26,0,0,0,8,0
season 2023/24,,1,1,0,4,4,4.00,3,133.33,0,0,0,1,0
season 2024,,3,3,0,67,48,22.33,70,95.71,0,0,0,7,0
*CT Dhururu,2024-2024,3,3,0,67,48,22.33,70,95.71,0,0,0,7,0
*M Musonda,2024-2024,1,1,0,4,4,4.00,3,133.33,0,0,0,1,0
is not captain,2024-2024,4,4,0,71,48,17.75,73,97.26,0,0,0,8,0
is not keeper,2024-2024,4,4,0,71,48,17.75,73,97.26,0,0,0,8,0
won the toss,2024-2024,2,2,0,22,18,11.00,26,84.61,0,0,0,2,0
lost the toss,2024-2024,2,2,0,49,48,24.50,47,104.25,0,0,0,6,0
won toss & fielded,2024-2024,2,2,0,22,18,11.00,26,84.61,0,0,0,2,0
lost toss & sent in,2024-2024,2,2,0,49,48,24.50,47,104.25,0,0,0,6,0
matches batting first,2024-2024,2,2,0,49,48,24.50,47,104.25,0,0,0,6,0
matches fielding first,2024-2024,2,2,0,22,18,11.00,26,84.61,0,0,0,2,0
1st team innings,2024-2024,4,4,0,71,48,17.75,73,97.26,0,0,0,8,0
1st match innings,2024-2024,2,2,0,49,48,24.50,47,104.25,0,0,0,6,0
2nd match innings,2024-2024,2,2,0,22,18,11.00,26,84.61,0,0,0,2,0
day match,2024-2024,3,3,0,67,48,22.33,70,95.71,0,0,0,7,0
day/night match,2024-2024,1,1,0,4,4,4.00,3,133.33,0,0,0,1,0
won match,2024-2024,1,1,0,18,18,18.00,23,78.26,0,0,0,1,0
lost match,2024-2024,3,3,0,53,48,17.66,50,106.00,0,0,0,7,0
won fielding first,2024-2024,1,1,0,18,18,18.00,23,78.26,0,0,0,1,0
lost batting first,2024-2024,2,2,0,49,48,24.50,47,104.25,0,0,0,6,0
lost fielding first,2024-2024,1,1,0,4,4,4.00,3,133.33,0,0,0,1,0
2 team series,2024-2024,1,1,0,4,4,4.00,3,133.33,0,0,0,1,0
3-4 team tournaments,2024-2024,3,3,0,67,48,22.33,70,95.71,0,0,0,7,0
5th match in series,2024-2024,1,1,0,4,4,4.00,3,133.33,0,0,0,1,0
2nd position,2024-2024,1,1,0,48,48,48.00,43,111.62,0,0,0,6,0
3rd position,2024-2024,2,2,0,19,18,9.50,27,70.37,0,0,0,1,0
6th position,2024-2024,1,1,0,4,4,4.00,3,133.33,0,0,0,1,0
