,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,5,5,26.2,1,110,5,3/35,22.00,4.17,31.6,0,0
vs NZ Women,1,1,3.0,0,17,0,-,-,5.66,-,0,0
vs PAK Women,1,1,4.0,0,19,0,-,-,4.75,-,0,0
vs SA Women,1,1,10.0,0,35,3,3/35,11.66,3.50,20.0,0,0
vs WI Women,1,1,6.0,1,22,0,-,-,3.66,-,0,0
vs ZIM Women,1,1,3.2,0,17,2,2/17,8.50,5.10,10.0,0,0
in New Zealand,4,4,23.0,1,93,3,3/35,31.00,4.04,46.0,0,0
in Zimbabwe,1,1,3.2,0,17,2,2/17,8.50,5.10,10.0,0,0
in Africa,1,1,3.2,0,17,2,2/17,8.50,5.10,10.0,0,0
in Oceania,4,4,23.0,1,93,3,3/35,31.00,4.04,46.0,0,0
away,2,2,6.2,0,34,2,2/17,17.00,5.36,19.0,0,0
neutral,3,3,20.0,1,76,3,3/35,25.33,3.80,40.0,0,0
year 2021,1,1,3.2,0,17,2,2/17,8.50,5.10,10.0,0,0
year 2022,4,4,23.0,1,93,3,3/35,31.00,4.04,46.0,0,0
season 2021/22,5,5,26.2,1,110,5,3/35,22.00,4.17,31.6,0,0
*Nigar Sultana,5,5,26.2,1,110,5,3/35,22.00,4.17,31.6,0,0
is not captain,5,5,26.2,1,110,5,3/35,22.00,4.17,31.6,0,0
is not keeper,5,5,26.2,1,110,5,3/35,22.00,4.17,31.6,0,0
won the toss,2,2,16.0,1,57,3,3/35,19.00,3.56,32.0,0,0
lost the toss,3,3,10.2,0,53,2,2/17,26.50,5.12,31.0,0,0
won toss & fielded,2,2,16.0,1,57,3,3/35,19.00,3.56,32.0,0,0
lost toss & sent in,2,2,7.0,0,36,0,-,-,5.14,-,0,0
lost toss & fielded,1,1,3.2,0,17,2,2/17,8.50,5.10,10.0,0,0
matches batting first,2,2,7.0,0,36,0,-,-,5.14,-,0,0
matches fielding first,3,3,19.2,1,74,5,3/35,14.80,3.82,23.2,0,0
1st team innings,5,5,26.2,1,110,5,3/35,22.00,4.17,31.6,0,0
1st match innings,3,3,19.2,1,74,5,3/35,14.80,3.82,23.2,0,0
2nd match innings,2,2,7.0,0,36,0,-,-,5.14,-,0,0
won match,2,2,7.2,0,36,2,2/17,18.00,4.90,22.0,0,0
lost match,3,3,19.0,1,74,3,3/35,24.66,3.89,38.0,0,0
won batting first,1,1,4.0,0,19,0,-,-,4.75,-,0,0
won fielding first,1,1,3.2,0,17,2,2/17,8.50,5.10,10.0,0,0
lost batting first,1,1,3.0,0,17,0,-,-,5.66,-,0,0
lost fielding first,2,2,16.0,1,57,3,3/35,19.00,3.56,32.0,0,0
2 team series,1,1,3.2,0,17,2,2/17,8.50,5.10,10.0,0,0
5+ team tournaments,4,4,23.0,1,93,3,3/35,31.00,4.04,46.0,0,0
3rd match in series,1,1,3.2,0,17,2,2/17,8.50,5.10,10.0,0,0
ICC Women's World Cu,4,4,23.0,1,93,3,3/35,31.00,4.04,46.0,0,0
1st position,1,1,3.2,0,17,2,2/17,8.50,5.10,10.0,0,0
2nd position,4,4,23.0,1,93,3,3/35,31.00,4.04,46.0,0,0
